event_id	country_code	state_hash	conflict_factuality_index	epistemic_confidence	time_frame	predicate_type	actor_role	subject_origin	informational_entropy
evt_20260409_7CC2	eu	c344f257c526ca0a47c94a9650bbe0f570b2a5a5a05f7ac1baf8113a01de8537	0.6	0.7	2024-01-01T00:00:00Z	report	corporation	eu	NULL
evt_20260409_7CC2	gb	fd117d1c86f2b33d06702a30ce85f2b64d0d8bde409b2dd30e67ceab376b914d	0.6	0.7	2024-05-03T00:00:00Z	report	corporation	gb	NULL
evt_20260409_7CC2	us	7e2ff29775c9c61da78411d4712d2071bfc92903237b11328215c1ec7a5729a6	0.6	0.8	2024-02-29T00:00:00Z	report	corporation	us	NULL
evt_20260409_7CC2	jp	f82a2be263e8ec9b3f900749c80fadee87a7f0bbd94ec7d0d4296da4ec32d1cb	0.3	0.7	2024-01-01T00:00:00Z	report	corporation	jp	NULL
evt_20260409_AB1E	gb	6e86980d15bce0ec8e966f7500f3f7c7748d832f42486acfe55d2d4be7946a3a	0.6	0.7	2024-05-09T00:00:00Z	report	ngo	gb	NULL
evt_20260409_AB1E	cn	0e93fb5a142533a4c59af5cc874085710d9bd5fe047026145d3c3ffc1c3d29e7	0.6	0.7	2024-05-09T00:00:00Z	report	ngo	cn	NULL
evt_20260409_AB1E	jp	b8744532a66e1029cc290de8b744fbc3d613085ff3c5f4e529d43039669e721a	0.6	0.8	2024-05-09T00:00:00Z	report	ngo	jp	NULL
evt_20260409_F5E6	qa	29ac3e9a3a0910fb8f2e0075e4bf88e86ccdfb0adb0c7b4d2d0703169dcd929a	0.9	0.7	2024-05-03T00:00:00Z	report	corporation	qa	NULL
evt_20260409_F5E6	gb	6fdfec02c01443a138ba8b64a71054a9921077fb4fce8a5bd73125235582fb41	0.1	0.7	2024-05-03T00:00:00Z	report	corporation	gb	NULL
evt_20260409_F5E6	cn	6b163c212e46cd97b2d5bf88feeb1e4d02a2c53003e041b36eb8e56c6fd4e0cf	0.1	0.7	2024-05-03T00:00:00Z	report	corporation	cn	NULL
evt_20260409_F5E6	us	16008adc27a471a30eb97e5e81c9e1767fc9b7312fb59512bcda52540bbaadcc	0.6	0.8	2024-05-03T00:00:00Z	report	corporation	us	NULL
evt_20260409_F5E6	jp	5bbb2727547e2fd1129f72c98f4b463a8e4515fdf9ade35fa40d8b82edbaf35e	0.2	0.7	2024-01-01T00:00:00Z	report	corporation	jp	NULL
evt_20260409_3DCF	qa	5f06aee35e6c6fa66fdc5fc7870b3f0865f653296d4a2ec5ccf618e26636b976	0.6	0.8	2024-05-03T00:00:00Z	report	state	qa	NULL
evt_20260409_3DCF	eu	a846f42cbfdd71c99b43eab7e3b1b1f8ecda275cc28208e4d7056f74d6a31d56	0.4	0.7	2024-01-01T00:00:00Z	report	state	eu	NULL
evt_20260409_3DCF	cn	f4f8bd825297d4379215dd94012502b89db5636849d5e553f8572d428035298d	0.6	0.7	2024-01-01T00:00:00Z	report	state	cn	NULL
